"ID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit"
718,"Three-Legged Zombies","Monster","Normal","DARK","Zombie",3,1100,800,33734439,3
719,"Thunder Dragon","Monster","Effect","LIGHT","Thunder",5,1600,1500,31786629,3
720,"Tiger Axe","Monster","Normal","EARTH","Beast-Warrior",4,1300,1100,49791927,3
721,"Tiger Axe (alternate artwork)","Monster","Normal","EARTH","Beast-Warrior",4,1300,1100,40907090,3
722,"Time Machine","Trap",,,,,,,80987696,3
723,"Time Seal","Trap",,,,,,,35316708,3
724,"Time Wizard","Monster","Effect","LIGHT","Spellcaster",2,500,400,71625222,3
725,"Toad Master","Monster","Normal","WATER","Aqua",3,1000,1000,62671448,3
726,"Togex","Monster","Normal","EARTH","Beast",5,1600,1800,33878931,3
727,"Toll","Magic",,,,,,,82003859,3
728,"Tomozaurus","Monster","Normal","EARTH","Dinosaur",2,500,400,46457856,3
729,"Tongyo","Monster","Normal","WATER","Fish",4,1350,800,69572024,3
730,"Toon Alligator","Monster","Normal","WATER","Reptile",4,800,1600,59383041,3
731,"Toon Mermaid","Monster","Effect","WATER","Aqua",4,1400,1500,65458948,3
732,"Toon Summoned Skull","Monster","Effect","DARK","Fiend",6,2500,1200,91842653,3
733,"Toon World","Magic",,,,,,,15259703,3
734,"Torike","Monster","Normal","EARTH","Beast",3,1200,600,80813021,3
735,"Total Defense Shogun","Monster","Effect","DARK","Warrior",6,1550,2500,75372290,3
736,"Trakadon","Monster","Normal","EARTH","Dinosaur",3,1300,800,42348802,3
737,"Trap Hole","Trap",,,,,,,4206964,3
738,"Trap Master","Monster","Effect","EARTH","Warrior",3,500,1100,46461247,3
739,"Tremendous Fire","Magic",,,,,,,,3
740,"Trent","Monster","Normal","EARTH","Plant",5,1500,1800,78780140,3
741,"Trial of Nightmare","Monster","Normal","DARK","Fiend",4,1300,900,77827521,3
742,"Tribute to The Doomed","Magic",,,,,,,79759861,3
743,"Tri-Horned Dragon","Monster","Normal","DARK","Dragon",8,2850,2350,,3
744,"Tripwire Beast","Monster","Normal","EARTH","Thunder",4,1200,1300,45042329,3
745,"Turtle Oath","Magic",,,,,,,,3
746,"Turtle Tiger","Monster","Normal","WATER","Aqua",4,1000,1500,37313348,3
747,"Twin Long Rods #2","Monster","Normal","WATER","Aqua",3,850,700,29692206,3
748,"Twin-Headed Fire Dragon","Monster","Normal","FIRE","Pyro",6,2200,1700,78984772,3
749,"Twin-Headed Thunder Dragon","Monster","Fusion","LIGHT","Thunder",7,2800,2100,54752875,3
750,"Two-Headed King Rex","Monster","Normal","EARTH","Dinosaur",4,1600,1200,94119974,3
751,"Two-Mouth Darkruler","Monster","Normal","EARTH","Dinosaur",3,900,700,57305373,3
752,"Two-Pronged Attack","Trap",,,,,,,83887306,3
753,"Tyhone","Monster","Normal","WIND","Winged Beast",4,1200,1400,72842870,3
754,"Tyhone #2","Monster","Normal","FIRE","Dragon",6,1700,1900,56789759,3
755,"UFO Turtle","Monster","Effect","FIRE","Machine",4,1400,1200,60806437,3
756,"Ultimate Offering","Trap",,,,,,,80604091,3
757,"Umi","Magic",,,,,,,22702055,3
758,"Umiiruka","Magic",,,,,,,82999629,3
759,"Unknown Warrior of Fiend","Monster","Normal","DARK","Warrior",3,1000,500,97360116,3
760,"Upstart Goblin","Magic",,,,,,,70368879,3
761,"Uraby","Monster","Normal","EARTH","Dinosaur",4,1500,800,1784619,3
762,"Ushi Oni","Monster","Normal","DARK","Fiend",6,2150,1950,48649353,3
763,"Valkyrion the Magna Warrior","Monster","Effect","EARTH","Rock",8,3500,3850,75347539,3
764,"Vermillion Sparrow","Monster","Fusion","FIRE","Pyro",5,1900,1500,35752363,3
765,"Versago the Destroyer","Monster","Effect","DARK","Fiend",3,1100,900,50259460,3
766,"Vile Germs","Magic",,,,,,,39774685,3
767,"Violent Rain","Monster","Normal","WATER","Aqua",4,1550,800,94042337,3
768,"Violet Crystal","Magic",,,,,,,15052462,3
769,"Vishwar Randi","Monster","Normal","DARK","Warrior",3,900,700,78556320,3
770,"Vorse Raider","Monster","Normal","DARK","Beast-Warrior",4,1900,1200,14898066,3
771,"Waboku","Trap",,,,,,,12607053,3
772,"Wall of Illusion","Monster","Effect","DARK","Fiend",4,1000,1850,13945283,3
773,"Wall Shadow","Monster","Effect","DARK","Warrior",7,1600,3000,,3
774,"War-Lion Ritual","Magic",,,,,,,,3
775,"Warrior Elimination","Magic",,,,,,,90873992,3
776,"Warrior of Tradition","Monster","Fusion","EARTH","Warrior",6,1900,1700,56413937,3
777,"Wasteland","Magic",,,,,,,23424603,3
778,"Water Element","Monster","Normal","WATER","Aqua",3,900,700,3732747,3
779,"Water Girl","Monster","Normal","WATER","Aqua",4,1250,1000,55014050,3
780,"Water Magician","Monster","Normal","WATER","Aqua",4,1400,1000,93343894,3
781,"Water Omotics","Monster","Normal","WATER","Aqua",4,1400,1200,2483611,3
782,"Waterdragon Fairy","Monster","Normal","WATER","Aqua",3,1100,700,66836598,3
783,"Weather Control","Monster","Normal","LIGHT","Fairy",2,600,400,37243151,3
784,"Weather Report","Monster","Effect","WATER","Aqua",4,950,1500,72053645,3
785,"Whiptail Crow","Monster","Normal","DARK","Fiend",4,1650,1600,91996584,3
786,"White Hole","Trap",,,,,,,43487744,3
787,"White Magical Hat","Monster","Effect","LIGHT","Spellcaster",3,1000,700,15150365,3
788,"Wicked Mirror","Monster","Normal","DARK","Fiend",2,700,600,15150371,3
789,"Widespread Ruin","Trap",,,,,,,77754944,3
790,"Windstorm of Etaqua","Trap",,,,,,,59744639,3
791,"Wing Egg Elf","Monster","Normal","LIGHT","Fairy",3,500,1300,98582704,3
792,"Winged Cleaver","Monster","Normal","EARTH","Insect",2,700,700,39175982,3
793,"Winged Dragon,Guardian of the Fortress #1","Monster","Normal","WIND","Dragon",4,1400,1200,87796900,3
794,"Wings of Wicked Flame","Monster","Normal","FIRE","Pyro",2,700,600,92944626,3
795,"Witch of the Black Forest","Monster","Effect","DARK","Spellcaster",4,1100,1200,78010363,2
796,"Witch's Apprentice","Monster","Effect","DARK","Spellcaster",2,550,500,80741828,3
797,"Witty Phantom","Monster","Normal","DARK","Fiend",4,1400,1300,36304921,3
798,"Wodan the Resident of the Forest","Monster","Effect","EARTH","Warrior",3,900,1200,42883273,3
799,"Wood Remains","Monster","Normal","DARK","Zombie",3,1000,900,17733394,3
800,"World Suppression","Trap",,,,,,,12253117,3
801,"Wow Warrior","Monster","Normal","WATER","Fish",4,1250,900,69750536,3
802,"Wretched Ghost of the Attic","Monster","Normal","DARK","Fiend",2,550,400,17238333,3
803,"Yado Karu","Monster","Effect","WATER","Aqua",4,900,1700,29380133,3
804,"Yaiba Robo","Monster","Normal","DARK","Machine",4,1000,1300,10315429,3
805,"Yamatano Dragon Scroll","Monster","Normal","WIND","Dragon",2,900,300,76704943,3
806,"Yami","Magic",,,,,,,59197169,3
807,"Yaranzo","Monster","Normal","DARK","Zombie",4,1300,1500,71280811,3
808,"Zanki","Monster","Normal","EARTH","Warrior",5,1500,1700,30090452,3
809,"Zera Ritual","Magic",,,,,,,,3
810,"Zera The Mant","Monster","Ritual","DARK","Fiend",8,2800,2300,,3
811,"Zoa","Monster","Normal","DARK","Fiend",7,2600,1900,24311372,3
812,"Zombie Warrior","Monster","Fusion","DARK","Zombie",3,1200,900,31339260,3
813,"Zone Eater","Monster","Effect","WATER","Aqua",1,250,200,86100785,3
814,"The Monarchy","Ticket",,,,,,,,0
815,"Set Sail for the Kingdom","Ticket",,,,,,,,0
816,"Glory of the King's Hand","Ticket",,,,,,,,0
817,"Obelisk the Tormentor","Monster",,"DIVINE","Divine-Beast",10,4000,4000,,0
818,"Slifer the Sky Dragon","Monster",,"DIVINE","Divine-Beast",10,"X000","X000",,0
819,"The Winged Dragon of Ra","Monster",,"DIVINE","Divine-Beast",10,"????","????",,0
820,"Insect Monster Token","Monster","Token","EARTH","Insect",1,100,100,,0
